objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"Android: Netrunner – Fear and Loathing","147739","0","","0","0","0","0","0","0","1","0","0","1","","","","","","33116693","6.13061","8.25754","3.4706","0","2965","thing","Android: Netrunner – Fear and Loathing","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Fear the Masses","190021","0","","0","0","0","0","0","0","1","0","0","3","","","","","","37257502","5.6212","7.98889","0","0","767","thing","Android: Netrunner – Fear the Masses","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – First Contact","157482","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069291","5.94741","8.26854","3.375","0","2152","thing","Android: Netrunner – First Contact","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Future Proof","137863","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069282","6.51136","8.24006","3.3793","0","4955","thing","Android: Netrunner – Future Proof","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Honor and Profit","152314","0","","0","0","0","0","0","0","1","0","0","1","","","","","","33116670","6.37711","8.38241","3.2609","0","3844","thing","Android: Netrunner – Honor and Profit","2","2","45","45","45","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Humanity's Shadow","136147","0","","0","0","0","0","0","0","1","0","0","1","","","","","","33116663","6.49774","8.18702","3.2581","0","4852","thing","Android: Netrunner – Humanity's Shadow","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Intervention","206989","0","","0","0","0","0","0","0","1","0","0","1","","","","","","43871815","5.61299","7.92","0","0","588","thing","Android: Netrunner – Intervention","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Kala Ghoda","180303","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069304","5.69028","8.16543","3.5","0","1040","thing","Android: Netrunner – Kala Ghoda","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Mala Tempora","144640","0","","0","0","0","0","0","0","1","0","0","1","","","","","","33116690","6.20914","8.22077","3.2632","0","3314","thing","Android: Netrunner – Mala Tempora","2","2","45","45","45","2013","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Martial Law","212398","0","","0","0","0","0","0","0","1","0","0","1","","","","","","43871822","5.60252","8.08537","0","0","555","thing","Android: Netrunner – Martial Law","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Old Hollywood","175436","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069307","5.78357","8.24508","0","0","1477","thing","Android: Netrunner – Old Hollywood","2","2","45","0","45","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Opening Moves","142727","0","","0","0","0","0","0","0","1","0","0","1","","","","","","33116665","6.35449","8.26207","3.4167","0","3833","thing","Android: Netrunner – Opening Moves","2","2","45","45","45","2013","","","","Unplayable in another language","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Order and Chaos","164314","8","","0","0","0","0","0","0","1","0","0","1","","","","","","33116673","6.15736","8.38211","3.0833","0","2744","thing","Android: Netrunner – Order and Chaos","2","2","45","45","45","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Quorum","212399","0","","0","0","0","0","0","0","1","0","0","1","","","","","","43871821","5.60819","8.31098","0","0","509","thing","Android: Netrunner – Quorum","2","2","45","45","45","2017","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Salsette Island","186862","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069316","5.6461","8.1459","0","0","835","thing","Android: Netrunner – Salsette Island","2","2","45","45","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Second Thoughts","143694","0","","0","0","0","0","0","0","1","0","0","1","","","","","","33116672","6.24254","8.18216","3.1739","0","3384","thing","Android: Netrunner – Second Thoughts","2","2","45","45","45","2013","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Terminal Directive","213269","6","13","0","1","0","0","0","0","0","0","0","1","","PnP","","","","42691406","5.74715","7.20273","3.5","0","1037","thing","Android: Netrunner – Terminal Directive","2","2","45","45","45","2017","2","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – The Liberated Mind","189314","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069317","5.6427","8.21379","0","0","809","thing","Android: Netrunner – The Liberated Mind","2","2","45","0","45","2016","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – The Source","162359","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069302","5.90407","8.30227","3.75","0","1904","thing","Android: Netrunner – The Source","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – The Spaces Between","156112","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069294","5.97248","8.27146","3.3636","0","2259","thing","Android: Netrunner – The Spaces Between","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – The Underway","173909","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069312","5.77826","8.27265","3","0","1450","thing","Android: Netrunner – The Underway","2","2","45","45","45","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – The Universe of Tomorrow","176426","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069309","5.7545","8.29623","3","0","1335","thing","Android: Netrunner – The Universe of Tomorrow","2","2","45","45","45","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – The Valley","168823","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069297","5.82511","8.29929","3","0","1596","thing","Android: Netrunner – The Valley","2","2","45","45","45","2015","2","2","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Trace Amount","132005","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069281","6.65343","8.18368","3.28","0","5754","thing","Android: Netrunner – Trace Amount","2","2","45","45","45","2013","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – True Colors","146243","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069283","6.21233","8.25448","3.5","0","3266","thing","Android: Netrunner – True Colors","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Up and Over","159073","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069301","5.93495","8.34084","3.2857","0","2034","thing","Android: Netrunner – Up and Over","2","2","45","0","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – Upstalk","154544","0","","0","0","0","0","0","0","1","0","0","1","","","","","","35069287","5.98544","8.24717","3.4545","0","2363","thing","Android: Netrunner – Upstalk","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","",""
"Android: Netrunner – What Lies Ahead","130806","0","","0","0","0","0","0","0","1","0","0","3","","","","","","35069273","6.75884","8.20074","3.4","0","6534","thing","Android: Netrunner – What Lies Ahead","2","2","45","45","45","2012","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Antiquity","13122","0","","0","0","0","0","0","1","0","0","1","1","","","","","","44525355","7.14922","7.86142","4.29","226","2946","thing","Antiquity","2","4","180","180","120","2004","2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Arboretum","140934","8","7","0","1","0","0","0","0","0","0","0","3","","PnP","","","","44389459","6.98918","7.36333","2.1585","344","6394","thing","Arboretum","2","4","30","30","30","2015","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Arcadia Quest","155068","0","","0","0","0","0","0","1","0","0","0","3","","","","","","43858478","7.50787","7.93183","2.532","78","10090","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Arcane Academy","144734","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43731423","6.00252","7.03577","2.2727","2013","1055","thing","Arcane Academy","2","4","45","45","30","2016","2,3,4","","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Arkham Horror","15987","3","1","0","0","0","0","0","0","0","0","0","3","","","","","","47544088","7.15942","7.32733","3.5513","223","40656","thing","Arkham Horror","1","8","360","360","120","2005","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","0","","0","0","0","0","0","1","0","0","0","1","","","","","","41622567","7.89569","8.30748","3.168","18","17990","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Arkwright","154825","0","","0","1","0","0","0","1","0","0","0","3","","","","","","44042608","6.70324","7.90139","4.5282","615","1980","thing","Arkwright","2","4","240","240","120","2014","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Ascension: Deckbuilding Game","69789","7","","0","0","0","0","0","0","0","0","0","3","","","","","","32760404","6.83696","7.04141","2.1552","486","10151","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Aton","19999","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921692","6.53978","6.89483","2.1067","808","4039","thing","Aton","2","2","30","30","30","2005","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Automobile","39351","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921572","7.03182","7.35873","3.5216","311","4794","thing","Automobile","3","5","120","120","120","2009","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Azul","230802","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","46444958","7.22946","7.91769","1.9136","181","4751","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"BANG!","3955","7","","0","0","0","0","0","0","0","0","0","3","","","","","","31716677","6.41738","6.54368","1.6384","998","24153","thing","BANG!","4","7","40","40","20","2002","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Bärenpark","219513","7","3","0","0","0","0","0","0","0","0","1","4","","","","","","43527398","6.85357","7.42965","1.8302","476","3711","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game","37111","0","","0","0","0","0","0","0","0","0","0","1","","","","","","37234643","7.62133","7.76138","3.229","57","30047","thing","Battlestar Galactica: The Board Game","3","6","300","300","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","6","6","0","0","0","0","0","0","0","0","0","3","","","","","","38219516","6.93646","7.12008","2.3663","402","37291","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Betrayal at House on the Hill: Widow's Walk","198452","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","40701243","6.68002","7.63216","2.4167","0","7156","thing","Betrayal at House on the Hill: Widow's Walk","3","6","60","0","60","2016","3,4,5,6","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","",""
"Between Two Cities","168435","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","46362092","6.85194","7.0999","1.8071","478","7873","thing","Between Two Cities","1","7","20","20","20","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Blood Rage","170216","7","2","0","1","1","0","0","0","0","0","0","3","","","","","","33606173","7.90757","8.11117","2.8925","17","22925","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"The Bloody Inn","180593","0","","0","1","1","0","0","1","0","0","0","3","","NIS","","","","43203908","6.63096","6.98932","2.3716","700","5117","thing","The Bloody Inn","1","4","60","60","30","2015","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Blueprints","140933","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","47611742","6.62058","6.89989","1.6884","715","6048","thing","Blueprints","2","4","30","30","30","2013","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Bora Bora","127060","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428478","7.31945","7.58989","3.7417","137","9681","thing","Bora Bora","2","4","120","120","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Boss Monster: The Dungeon Building Card Game","131835","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","31717149","6.16954","6.34093","1.8033","1528","17224","thing","Boss Monster: The Dungeon Building Card Game","2","4","20","20","20","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Brass Deluxe","28720","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","34287498","7.79484","8.00754","3.8744","30","11832","thing","Brass: Lancashire","2","4","180","180","120","2015","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","Eagle-Gryphon Games","English","2015","Eagle-Gryphon Games Deluxe Edition"
"Brew Crafters","139898","0","","0","0","0","0","0","1","0","0","0","3","","","","","","44220079","6.87741","7.63286","3.5702","450","3404","thing","Brew Crafters","2","5","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Burgle Bros.","172081","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","46675397","7.19775","7.67404","2.2794","202","7589","thing","Burgle Bros.","1","4","90","90","45","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Bus","552","9","2","0","1","0","0","0","0","0","0","0","1","","","","","","46481669","6.06024","6.89689","3.1","1819","739","thing","Bus","3","5","120","120","120","1999","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Cacao","171499","7","","0","0","0","0","0","0","0","0","0","3","","","","","","33635519","6.82292","7.13535","1.8147","502","6157","thing","Cacao","2","4","45","45","45","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Capital Lux","205046","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","38239875","6.23474","7.14031","2","1374","1489","thing","Capital Lux","2","4","30","0","30","2016","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"The Capitals","119012","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428484","6.19339","7.03261","3.506","1453","1237","thing","The Capitals","2","5","120","120","120","2013","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Captain Sonar","171131","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","41893848","7.43958","7.75935","2.0833","92","10114","thing","Captain Sonar","2","8","60","60","45","2016","4,6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Carcassonne","822","0","","0","0","0","0","0","1","0","0","0","1","","","","","","31716703","7.33239","7.43374","1.9336","134","102268","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"The Castles of Burgundy","84876","8","1","0","0","0","0","0","0","0","0","0","1","","","","","","31716724","7.99972","8.11488","3.0281","10","39962","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Castles of Mad King Ludwig","155426","0","","0","0","0","0","0","1","0","0","0","1","","","","","","37234661","7.53434","7.69259","2.6694","71","20444","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Catan","13","3","1","0","0","0","0","0","0","1","0","0","1","","NIS","","","","31716701","7.0934","7.23898","2.3539","270","105206","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Caverna: Cave vs Cave","220520","8","2","0","0","0","0","0","0","0","0","0","1","","","","","","43366441","6.56846","7.45894","2.5862","770","3429","thing","Caverna: Cave vs Cave","1","2","40","40","20","2017","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Caverna: The Cave Farmers","102794","10","7","0","0","0","0","0","0","0","0","1","3","","","","","","31716715","7.97336","8.14281","3.7878","13","24963","thing","Caverna: The Cave Farmers","1","7","210","210","30","2014","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","Lookout Games; Mayfair Games","English","2014","English Second edition"
"Cavum","37734","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46481636","6.17333","6.74965","3.6","1510","1928","thing","Cavum","2","4","90","90","90","2008","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Caylus","18602","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","34561386","7.69831","7.84125","3.819","42","23134","thing","Caylus","2","5","150","150","60","2005","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Century: Spice Road","209685","8","10","0","0","0","0","0","0","0","0","0","3","","","","","","43356914","7.13268","7.4778","1.7563","240","8033","thing","Century: Spice Road","2","5","45","45","30","2017","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Champions of Midgard","172287","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","42671683","7.34941","7.76719","2.527","124","8309","thing","Champions of Midgard","2","4","90","90","60","2015","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Cheaty Mages!","38194","0","","0","0","0","0","0","1","0","0","0","1","","","","","","43191712","5.99858","6.32548","1.5806","2041","3014","thing","Cheaty Mages!","3","6","30","30","30","2008","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Chess","171","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","35476888","6.92432","7.08804","3.7492","415","28893","thing","Chess","2","2","60","60","60","1475","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Clank!: A Deck-Building Adventure","201808","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","43176622","7.63329","7.95885","2.2162","55","12330","thing","Clank!: A Deck-Building Adventure","1","4","60","60","30","2016","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Clank!: Sunken Treasures","218103","7","4","0","0","0","0","0","0","0","0","0","3","","","","","","44046227","6.85565","8.18101","2","0","4629","thing","Clank!: Sunken Treasures","2","4","60","60","60","2017","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","",""
"Clans of Caledonia","216132","8","3","0","0","0","0","0","0","0","0","0","3","","","","","","46100289","7.44411","8.23038","3.3977","90","4827","thing","Clans of Caledonia","1","4","120","120","30","2017","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"The Climbers","34297","0","","0","0","0","0","0","1","0","0","1","2","","","","","","46921294","6.27961","6.91591","1.8795","1268","1679","thing","The Climbers","2","5","45","45","45","2008","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Cockroach Poker","11971","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","33898026","6.28975","6.5023","1.1293","1245","6208","thing","Cockroach Poker","2","6","20","20","20","2004","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Codenames","178900","7","10","0","1","0","0","0","0","0","0","0","4","","","","","","34406852","7.73493","7.82975","1.3454","36","59026","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","",""
"Codenames: Deep Undercover","205158","0","","0","0","0","0","0","0","0","0","0","3","","","","","","41893780","6.19766","6.80451","1.5556","1457","3630","thing","Codenames: Deep Undercover","4","8","30","30","15","2016","2,4,5,6,7,8","6","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","",""
"Codenames: Pictures","198773","8","20","0","1","0","0","0","0","0","0","0","1","","","","","","40635607","7.23701","7.48093","1.3108","175","15306","thing","Codenames: Pictures","2","8","20","20","10","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","Czech Games Edition","English","2016","English first edition"
"Codenames: Pictures – 5x5 Promo Tiles","205916","8","","0","1","0","0","0","0","0","0","0","1","","","","","","41893784","5.73943","7.0631","1","0","1564","thing","Codenames: Pictures – 5x5 Promo Tiles","2","8","15","0","15","2016","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","Czech Games Edition","(neutral)","2016","First edition"
"Colonialism","67917","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46921555","5.76377","6.8193","2.8889","3333","619","thing","Colonialism","2","4","90","90","90","2013","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"The Colonists","192836","0","","0","0","0","0","0","1","0","0","0","3","","","","","","46696985","7.01318","7.87703","4.0543","327","3775","thing","The Colonists","1","4","360","360","30","2016","1,2,3","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Concordia","124361","8","2","0","0","0","0","0","0","0","0","1","3","","","","","","37234641","7.84374","8.04568","3.1307","25","14946","thing","Concordia","2","5","100","100","100","2013","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Container","26990","0","","0","0","0","0","0","1","0","0","0","1","","","","","","45366711","6.76061","7.12148","3.2493","563","2718","thing","Container","3","5","90","90","90","2007","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Container: 10th Anniversary Jumbo Edition!","229892","0","","0","0","0","0","0","0","0","0","1","1","","","","","","46545036","0","7.1925","0","0","95","thing","Container: 10th Anniversary Jumbo Edition!","3","5","90","90","75","2018","","","","","","","","","","standalone","","","","","","","","","","","",""
"Control-Alt-Hack","128408","2","","0","0","0","0","0","0","1","0","0","1","","","","","","31716750","5.49951","5.47826","1.6667","0","71","thing","Control-Alt-Hack","3","6","60","60","60","2012","","","","","","","","","","standalone","","","","","","","","","","","",""
"Cosmic Encounter","39463","7","7","0","0","0","0","0","0","0","0","0","3","","","","","","32798779","7.44118","7.59037","2.5527","91","25307","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"Coup","131357","7","6","0","1","0","0","0","0","0","0","0","3","","PnP","","","","32510619","6.97723","7.09169","1.4338","358","38366","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Coup: Deluxe Edition","158408","7","","0","0","0","0","0","0","0","0","0","3","","","","","","41893834","5.94412","7.44593","1.3913","0","988","thing","Coup: Deluxe Edition","2","8","15","15","15","2016","3,4,5,6,7,8","4,5,6,7","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","Indie Boards & Cards","English","2016","English Brazilian Art edition"
"Coup: Reformation","148931","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","41893828","6.87168","7.34581","1.5648","0","11082","thing","Coup: Reformation","2","10","15","15","15","2013","4,5,6,7,8,9,10","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","",""
"CO₂","72225","0","","0","0","0","0","0","1","0","0","0","3","","","","","","44525336","6.81086","7.25677","3.8772","513","3889","thing","CO₂","1","5","120","120","120","2012","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Craftsmen","145219","0","","0","0","0","0","0","1","0","0","1","3","","","","","","46921528","5.79447","6.66005","4.0312","3097","627","thing","Craftsmen","2","5","180","180","120","2013","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Crokinole","521","0","","0","0","0","0","0","1","0","0","0","3","","","","","","43858474","7.5499","7.79397","1.2827","68","6091","thing","Crokinole","2","4","30","30","30","1876","2,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Cthulhu Wars","139976","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","45276814","7.18123","8.03967","3.1099","212","3564","thing","Cthulhu Wars","2","4","120","120","90","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Cthulhu Wars: Six to Eight Player Earth Map","145039","8","","0","0","0","0","0","0","0","0","0","3","","","","","","45276835","5.68275","8.17191","2.5","0","671","thing","Cthulhu Wars: Six to Eight Player Earth Map","6","8","120","120","120","2015","6,7,8","6,7,8","","","","","","","","expansion","","","","","","","","","","","",""
"Cthulhu Wars: The Sleeper Expansion","145032","8","","0","0","0","0","0","0","0","0","0","3","","","","","","45276830","5.86784","8.51847","3.5","0","869","thing","Cthulhu Wars: The Sleeper Expansion","2","5","90","90","90","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Cthulhu Wars: The Windwalker Expansion","145033","8","","0","0","0","0","0","0","0","0","0","3","","","","","","45276829","5.86691","8.54231","3.25","0","889","thing","Cthulhu Wars: The Windwalker Expansion","2","5","90","90","90","2015","","","","","","","","","","expansion","","","","","","","","","","","",""
"Cuba Libre","111799","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428488","6.84848","7.7749","3.4527","473","3330","thing","Cuba Libre","1","4","180","180","180","2013","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","",""
"CV","143986","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","46588678","6.50404","6.76758","1.8498","857","5922","thing","CV","2","4","60","60","60","2013","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
