objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,version_publishers,version_languages,version_yearpublished,version_nickname
"Tzolk'in: The Mayan Calendar – Tribes & Prophecies","143065","0","","0","0","0","0","0","0","0","0","1","3","","","","","","37361172","7.23394","8.12439","3.55","0","6701","thing","Tzolk'in: The Mayan Calendar – Tribes & Prophecies","2","5","90","90","90","2013","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","",""
"The U.S. Civil War","162009","0","","0","0","0","0","0","1","0","0","0","1","","","","","","47428458","6.16141","8.32971","3.7391","1544","1551","thing","The U.S. Civil War","2","2","360","360","150","2015","1,2","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","",""
"Unexploded Cow","1690","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","35051994","5.80494","6.07921","1.3706","3056","3024","thing","Unexploded Cow","2","6","25","25","25","2001","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Unspeakable Words","24304","5","3","0","0","0","0","0","0","0","0","0","3","","","","","","39820540","5.90821","6.27287","1.3269","2448","2093","thing","Unspeakable Words","2","6","30","30","30","2007","2,3,4,5,6","","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Vault Wars","169704","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","38551271","6.13422","6.97629","2.0857","1617","1632","thing","Vault Wars","3","5","60","60","45","2015","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Vinhos","42052","0","","0","1","0","0","0","1","0","0","0","3","","","","","","44525318","7.07383","7.52252","4.2029","279","4207","thing","Vinhos","2","4","135","135","60","2010","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Vinhos Deluxe Edition","175640","0","","0","0","0","0","0","1","0","0","0","3","","","","","","44525320","7.14626","8.36132","4.0337","230","3606","thing","Vinhos Deluxe Edition","1","4","135","135","60","2016","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","",""
"Viticulture","128621","9","","0","1","0","0","0","0","0","0","0","3","","","","","","41966704","7.39923","7.71463","2.9328","109","6862","thing","Viticulture","2","6","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Viticulture Essential Edition","183394","9","6","0","0","0","0","0","0","0","0","0","1","","","","","","40837789","7.85602","8.15975","2.9547","23","12940","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","",""
"Viticulture: Arboriculture Expansion","130655","0","","0","0","0","0","0","0","0","0","0","1","","","","","","43044691","5.70353","7.4812","2.7143","0","481","thing","Viticulture: Arboriculture Expansion","2","6","75","75","75","2013","","","","","","","","","","expansion","","","","","","","","","","","",""
